household_id,timestep,repair,vacant,sell
1,0,1,0,0
2,0,0,0,0
3,0,1,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,1
9,0,1,0,0
10,0,0,1,1
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,1,0,0
18,0,0,0,0
19,0,1,0,0
20,0,0,0,0
21,0,0,0,0
22,0,1,0,0
23,0,0,0,0
24,0,1,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,1,0,1
30,0,0,0,0
31,0,1,0,0
32,0,0,0,0
33,0,0,0,1
34,0,0,1,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,1
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,1,0
43,0,1,0,0
44,0,0,0,0
45,0,1,0,0
46,0,0,0,0
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,0,0,0,0
1,1,1,0,0
2,1,0,0,0
3,1,1,0,0
4,1,0,0,0
5,1,0,0,1
6,1,0,0,0
7,1,0,0,0
8,1,0,0,1
9,1,1,0,0
10,1,0,1,1
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,1,0,0
18,1,0,0,0
19,1,1,0,0
20,1,0,0,0
21,1,0,0,0
22,1,1,0,0
23,1,0,0,0
24,1,1,0,0
25,1,0,0,1
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,1,0,1
30,1,0,0,0
31,1,1,0,0
32,1,0,0,0
33,1,0,0,1
34,1,0,1,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,1
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,1,0
43,1,1,0,0
44,1,0,0,0
45,1,1,0,0
46,1,0,0,0
47,1,1,0,0
48,1,1,0,0
49,1,1,0,0
50,1,0,0,0
1,2,1,0,0
2,2,0,0,0
3,2,1,0,0
4,2,0,0,0
5,2,0,0,1
6,2,0,0,0
7,2,0,1,0
8,2,0,0,1
9,2,1,0,0
10,2,0,1,1
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0,0,0
17,2,1,0,0
18,2,0,0,0
19,2,1,0,0
20,2,1,0,0
21,2,0,0,0
