,id,age,gender,assigned,hhold,htype,wp,urban,long,lat,geometry
0,12071001923i2026,59.0,m,1.0,12071001923h358,0.0,,True,-81.97245117524427,26.51346163503861,POINT (-81.97245117524427 26.51346163503861)
1,12071001923i1997,65.0,m,1.0,12071001923h630,1.0,,True,-81.97244847348368,26.513324095718914,POINT (-81.97244847348368 26.513324095718914)
2,12071001923i1925,20.0,f,1.0,12071001923h1226,10.0,12071001104w424,True,-81.97227953933714,26.51353130993817,POINT (-81.97227953933714 26.51353130993817)
3,12071001923i1887,64.0,m,1.0,12071001923h495,0.0,,True,-81.97171030793365,26.5139175944915,POINT (-81.97171030793365 26.5139175944915)
4,12071001923i1772,23.0,f,1.0,12071001923h1226,10.0,,True,-81.97227953933714,26.51353130993817,POINT (-81.97227953933714 26.51353130993817)
5,12071001923i1713,16.0,f,1.0,12071001923h630,1.0,12071010702s0,True,-81.97244847348368,26.513324095718914,POINT (-81.97244847348368 26.513324095718914)
6,12071001923i1484,47.0,m,1.0,12071001923h445,0.0,12071050317w239,True,-81.97245401111846,26.51360605082831,POINT (-81.97245401111846 26.51360605082831)
7,12071001923i1437,27.0,m,1.0,12071001923h66,0.0,,True,-81.9716832107217,26.511937287345244,POINT (-81.9716832107217 26.511937287345244)
8,12071001923i1239,68.0,f,1.0,12071001923h1114,8.0,12071060102w325,True,-81.97246253475124,26.51403929724626,POINT (-81.97246253475124 26.51403929724626)
9,12071001923i923,55.0,m,1.0,12071001923h419,0.0,,True,-81.9724598280548,26.513901758504225,POINT (-81.9724598280548 26.513901758504225)
10,12071001923i847,8.0,m,1.0,12071001923h630,1.0,12071001917s0,True,-81.97244847348368,26.513324095718914,POINT (-81.97244847348368 26.513324095718914)
11,12071001923i760,63.0,m,1.0,12071001923h816,4.0,12071040138w949,True,-81.97178963062797,26.515239245350703,POINT (-81.97178963062797 26.515239245350703)
12,12071001923i578,70.0,f,1.0,12071001923h57,0.0,12071001923w12,True,-81.9709880314968,26.51204922588493,POINT (-81.9709880314968 26.51204922588493)
13,12071001923i560,57.0,f,1.0,12071001923h419,0.0,12021010514w49,True,-81.9724598280548,26.513901758504225,POINT (-81.9724598280548 26.513901758504225)
14,12071001923i81,9.0,f,1.0,12071001923h671,1.0,12071001917s0,True,-81.96938366317966,26.514889909036484,POINT (-81.96938366317966 26.514889909036484)
15,12071001923i272,29.0,m,1.0,12071001923h393,0.0,12071060101w83,True,-81.96967540488762,26.514891494363912,POINT (-81.96967540488762 26.514891494363912)
16,12071001923i260,40.0,f,1.0,12071001923h393,0.0,12071001916w15,True,-81.96967540488762,26.514891494363912,POINT (-81.96967540488762 26.514891494363912)
17,12071001923i275,70.0,m,1.0,12071001923h847,5.0,,True,-81.9716580215862,26.513174821297703,POINT (-81.9716580215862 26.513174821297703)
18,12071001923i514,74.0,m,1.0,12071001923h876,5.0,,True,-81.97167540297762,26.513421725425523,POINT (-81.97167540297762 26.513421725425523)
19,12071001923i384,58.0,f,1.0,12071001923h358,0.0,,True,-81.97245117524427,26.51346163503861,POINT (-81.97245117524427 26.51346163503861)
20,12071001923i320,66.0,f,1.0,12071001923h630,1.0,12071040113w315,True,-81.97244847348368,26.513324095718914,POINT (-81.97244847348368 26.513324095718914)
21,12071001923i139,46.0,f,1.0,12071001923h445,0.0,12071020600w98,True,-81.97245401111846,26.51360605082831,POINT (-81.97245401111846 26.51360605082831)
22,12071001923i520,32.0,f,1.0,12071001923h1226,10.0,,True,-81.97227953933714,26.51353130993817,POINT (-81.97227953933714 26.51353130993817)
23,12071001923i74,71.0,f,1.0,12071001923h495,0.0,,True,-81.97171030793365,26.5139175944915,POINT (-81.97171030793365 26.5139175944915)
24,12071001923i2138,74.0,m,1.0,12071001923h738,3.0,,True,-81.97245067220727,26.514312398970727,POINT (-81.97245067220727 26.514312398970727)
25,12071001923i2134,45.0,m,1.0,12071001923h83,0.0,,True,-81.97244064265686,26.512318009018223,POINT (-81.97244064265686 26.512318009018223)
26,12071001923i2092,41.0,f,1.0,12071001923h473,0.0,,True,-81.97244305969842,26.513049017816098,POINT (-81.97244305969842 26.513049017816098)
27,12071001923i1740,39.0,m,1.0,12071001923h473,0.0,,True,-81.97244305969842,26.513049017816098,POINT (-81.97244305969842 26.513049017816098)
28,12071001923i1714,65.0,m,1.0,12071001923h859,5.0,,True,-81.97170048504658,26.514413131644552,POINT (-81.97170048504658 26.514413131644552)
29,12071001923i1705,83.0,m,1.0,12071001923h594,1.0,,True,-81.97226003108665,26.51232124445063,POINT (-81.97226003108665 26.51232124445063)
30,12071001923i1141,11.0,f,1.0,12071001923h594,1.0,12071001917s0,True,-81.97226003108665,26.51232124445063,POINT (-81.97226003108665 26.51232124445063)
31,12071001923i1116,15.0,m,1.0,12071001923h594,1.0,12071010702s0,True,-81.97226003108665,26.51232124445063,POINT (-81.97226003108665 26.51232124445063)
32,12071001923i956,68.0,m,1.0,12071001923h887,5.0,,True,-81.97244576683191,26.51318655701541,POINT (-81.97244576683191 26.51318655701541)
33,12071001923i883,7.0,m,1.0,12071001923h594,1.0,12071001917s0,True,-81.97226003108665,26.51232124445063,POINT (-81.97226003108665 26.51232124445063)
34,12071001923i860,58.0,f,1.0,12071001923h628,1.0,12057011716w1639,True,-81.9724230492738,26.51446698517733,POINT (-81.9724230492738 26.51446698517733)
35,12071001923i750,17.0,f,1.0,12071001923h628,1.0,12071010702s0,True,-81.9724230492738,26.51446698517733,POINT (-81.9724230492738 26.51446698517733)
36,12071001923i720,30.0,f,1.0,12071001923h949,7.0,,True,-81.9724650129216,26.51417677966701,POINT (-81.9724650129216 26.51417677966701)
37,12071001923i585,1.0,m,1.0,12071001923h738,3.0,12071001917d0,True,-81.97245067220727,26.514312398970727,POINT (-81.97245067220727 26.514312398970727)
38,12071001923i417,57.0,f,1.0,12071001923h103,0.0,,True,-81.97244035084655,26.51291147971318,POINT (-81.97244035084655 26.51291147971318)
39,12071001923i300,57.0,m,1.0,12071001923h103,0.0,12071080100w86,True,-81.97244035084655,26.51291147971318,POINT (-81.97244035084655 26.51291147971318)
40,12071001923i492,49.0,m,1.0,12071001923h628,1.0,,True,-81.9724230492738,26.51446698517733,POINT (-81.9724230492738 26.51446698517733)
41,12071001923i445,0.0,m,1.0,12071001923h628,1.0,12071001917d0,True,-81.9724230492738,26.51446698517733,POINT (-81.9724230492738 26.51446698517733)
42,12071001923i2269,60.0,f,1.0,12071001923h83,0.0,,True,-81.97244064265686,26.512318009018223,POINT (-81.97244064265686 26.512318009018223)
43,12071001923i2284,29.0,f,1.0,12071001923h594,1.0,,True,-81.97226003108665,26.51232124445063,POINT (-81.97226003108665 26.51232124445063)
44,12071001923i2343,29.0,m,1.0,12071001923h1226,10.0,,True,-81.97227953933714,26.51353130993817,POINT (-81.97227953933714 26.51353130993817)
45,12071001923i2369,29.0,f,1.0,12071001923h66,0.0,,True,-81.9716832107217,26.511937287345244,POINT (-81.9716832107217 26.511937287345244)
46,12071001923i2450,22.0,f,1.0,12071001923h738,3.0,,True,-81.97245067220727,26.514312398970727,POINT (-81.97245067220727 26.514312398970727)
47,12071001923i288,54.0,f,1.0,12071001923h416,0.0,12095016902w6444,True,-81.97522652613435,26.51230335813964,POINT (-81.97522652613435 26.51230335813964)
48,12071001923i302,77.0,f,1.0,12071001923h276,0.0,12071020502w180,True,-81.97574198779714,26.51211731032022,POINT (-81.97574198779714 26.51211731032022)
49,12071001923i463,58.0,m,1.0,12071001923h416,0.0,,True,-81.97522652613435,26.51230335813964,POINT (-81.97522652613435 26.51230335813964)
50,12071001923i571,86.0,m,1.0,12071001923h554,0.0,12071040316w27,True,-81.9757482538262,26.512341740282373,POINT (-81.9757482538262 26.512341740282373)
51,12071001923i623,18.0,m,1.0,12071001923h1191,10.0,,True,-81.97571459878267,26.51166777048376,POINT (-81.97571459878267 26.51166777048376)
52,12071001923i803,67.0,m,1.0,12071001923h216,0.0,,True,-81.97573432224473,26.511892596974644,POINT (-81.97573432224473 26.511892596974644)
53,12071001923i1001,10.0,m,1.0,12071001923h603,1.0,12071001917s0,True,-81.97574875567271,26.512596356488704,POINT (-81.97574875567271 26.512596356488704)
54,12071001923i1136,35.0,m,1.0,12071001923h655,1.0,,True,-81.97571522850347,26.51077188181443,POINT (-81.97571522850347 26.51077188181443)
55,12071001923i1391,76.0,f,1.0,12071001923h216,0.0,,True,-81.97573432224473,26.511892596974644,POINT (-81.97573432224473 26.511892596974644)
56,12071001923i1545,21.0,f,1.0,12071001923h1191,10.0,,True,-81.97571459878267,26.51166777048376,POINT (-81.97571459878267 26.51166777048376)
57,12071001923i1600,14.0,f,1.0,12071001923h655,1.0,12071001921s0,True,-81.97571522850347,26.51077188181443,POINT (-81.97571522850347 26.51077188181443)
58,12071001923i1765,17.0,f,1.0,12071001923h603,1.0,12071010702s0,True,-81.97574875567271,26.512596356488704,POINT (-81.97574875567271 26.512596356488704)
59,12071001923i1773,73.0,m,1.0,12071001923h276,0.0,,True,-81.97574198779714,26.51211731032022,POINT (-81.97574198779714 26.51211731032022)
60,12071001923i2048,88.0,f,1.0,12071001923h554,0.0,12071001918w117,True,-81.9757482538262,26.512341740282373,POINT (-81.9757482538262 26.512341740282373)
61,12071001923i2107,66.0,m,1.0,12071001923h603,1.0,,True,-81.97574875567271,26.512596356488704,POINT (-81.97574875567271 26.512596356488704)
62,12071001923i2135,40.0,f,1.0,12071001923h655,1.0,,True,-81.97571522850347,26.51077188181443,POINT (-81.97571522850347 26.51077188181443)
63,12071001923i2156,1.0,f,1.0,12071001923h655,1.0,12071001917d0,True,-81.97571522850347,26.51077188181443,POINT (-81.97571522850347 26.51077188181443)
64,12071001923i2167,61.0,f,1.0,12071001923h603,1.0,,True,-81.97574875567271,26.512596356488704,POINT (-81.97574875567271 26.512596356488704)
65,12071001923i2327,63.0,m,1.0,12071001923h1191,10.0,12071060102w300,True,-81.97571459878267,26.51166777048376,POINT (-81.97571459878267 26.51166777048376)
66,12071001923i768,54.0,f,1.0,12071001923h320,0.0,12053041203w19,True,-81.97444766840525,26.51385238321013,POINT (-81.97444766840525 26.51385238321013)
67,12071001923i287,16.0,m,1.0,12071001923h643,1.0,12071010702s0,True,-81.97384959166386,26.51301623012868,POINT (-81.97384959166386 26.51301623012868)
68,12071001923i340,74.0,f,1.0,12071001923h298,0.0,12071001701w480,True,-81.97435510652868,26.513580503325805,POINT (-81.97435510652868 26.513580503325805)
69,12071001923i580,71.0,m,1.0,12071001923h298,0.0,12103025310w69,True,-81.97435510652868,26.513580503325805,POINT (-81.97435510652868 26.513580503325805)
70,12071001923i737,68.0,f,1.0,12071001923h502,0.0,,True,-81.97403358192797,26.51295783686229,POINT (-81.97403358192797 26.51295783686229)
71,12071001923i832,63.0,f,1.0,12071001923h502,0.0,,True,-81.97403358192797,26.51295783686229,POINT (-81.97403358192797 26.51295783686229)
72,12071001923i1087,37.0,f,1.0,12071001923h1193,10.0,12021011209w16,True,-81.97433020583578,26.51302570182788,POINT (-81.97433020583578 26.51302570182788)
73,12071001923i1113,22.0,f,1.0,12071001923h1193,10.0,,True,-81.97433020583578,26.51302570182788,POINT (-81.97433020583578 26.51302570182788)
74,12071001923i1279,69.0,m,1.0,12071001923h502,0.0,,True,-81.97403358192797,26.51295783686229,POINT (-81.97403358192797 26.51295783686229)
75,12071001923i1378,72.0,f,1.0,12071001923h1017,8.0,,True,-81.9743357407981,26.51330077152025,POINT (-81.9743357407981 26.51330077152025)
76,12071001923i217,51.0,f,1.0,12071001923h1164,10.0,,True,-81.97487004499082,26.51211056379052,POINT (-81.97487004499082 26.51211056379052)
